query_id,query,expected_omics_type,expected_constraints,pool_id,accession,source,reported_omics_type,title,description,organism,sample_count,disease,tissue,source_url,annotator_label,annotator_notes
MG01,crohn disease gut microbiome metagenomics,metagenomics,disease=Crohn disease; biome=intestine; omics=metagenomics,f2c5b67caef9a07a,PRJNA1024678,ena,genomics,The functionl characteristics of the gut microbiota in patients with Crohn's disease.,"Metagenomic sequencing was used to sequence the gut microbiota of Crohn's disease patients, and the sequencing data were analyzed to study the potential contribution of keystone species of gut microbiota to Crohn's disease.",,0,,,https://www.ebi.ac.uk/ena/browser/view/PRJNA1024678,1,partial constraint match
MG03,coral reef bleaching metagenomics,metagenomics,condition=coral bleaching; biome=reef; omics=metagenomics,73321140ac16b09e,PRJNA522650,ena,transcriptomics,Hidden resilience to recurrent bleaching in reef-building corals,"RNAseq data from colonies of Acropora hyacinthus and Acropora gemmifera from the back reef pools of Ofu, American Samoa following the 2015 bleaching event.",,0,,,https://www.ebi.ac.uk/ena/browser/view/PRJNA522650,1,"correct topic, wrong omics"
S06,lung fibrosis single-cell fibroblast,single_cell,disease=lung fibrosis; cell=fibroblast; assay=single-cell,acc73ca3aff23f0f,GSE331144,geo,single_cell,Transcriptional and spatial profiling of fibroblasts from human lungs highlights CTHRC1+ cells as fibrogenic signaling hubs in fibrosis,"This dataset contains single-cell RNA sequencing (scRNA-seq) data from native human lung tissue obtained from idiopathic pulmonary fibrosis (IPF) patients and age-matched controls. Samples were collected from IPF upper lobe, IPF lower lobe, and age-matched control lung tissue and processed using the 10x Genomics Chromium platform. Unsupervised clustering identified six transcriptionally distinct mesenchymal subtypes — alveolar, adventitial, inflammatory, CTHRC1⁺, peribronchial and smooth muscle ...",Homo sapiens,9,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE331144,1,missing disease
G07,mitochondrial disease genome sequencing,genomics,disease=mitochondrial disease; assay=genome sequencing,5e59bdaa2f0c88e4,PRJEB89026,ena,genomics,Mitochondrial genome assembly,"The encyrtid wasp Ixodiphagus hookeri (Hymenoptera: Encyrtidae) predates on a broad range of tick species, including the important disease vectors of the Ixodus ricinus complex. This wasp is a promising candidate for the biological control of tick populations. To support future studies on the biological interaction between ticks and tick wasps, the complete genome sequence of I. hookeri was determined using nanopore long-read technology. This work presents the complete mitochondrial genome of a singular I. hookeri. In-depth annotation of multiple nanopore long reads revealed that the mtDNA genome is a mixture of structural variants. It consists of an invariable ~15.2-kb core flanked by variable regions. Together, this variable region contains tens of copies of a 92-bp repeat unit, two copies of a ~340-bp repeat unit and up to more than 1,500 copies of a TA-dinucleotide. Parts of the mtDNA core sequence and of the repeat region have integrated a few hundred times into the nuclear genome of I. hookeri.",,0,,,https://www.ebi.ac.uk/ena/browser/view/PRJEB89026,2,
T08,adipose insulin resistance transcriptome,transcriptomics,disease=insulin resistance; tissue=adipose; omics=transcriptomics,9bbc4e49b6c73c6a,PRJNA560767,ena,transcriptomics,Transcriptome analysis of insulin resistant Immortalized human hepatocytes,"Insulin resistance and subsequent development of Non-alcoholic Fatty Liver Disease (NAFLD) in lean subjects raises a question in the underlying theory of Adipose tissue mediated inflammation. Here using global gene expression analysis by RNA-Seq of insulin resistant cultured IHH cells, which are made insulin resistant using high glucose and high insulin, we hypothesize that the pathogenesis of NAFLD and subsequent NASH is endogenous. The present bio-project submission contains sequence reads of the above mentioned transcriptome analysis.",,0,,,https://www.ebi.ac.uk/ena/browser/view/PRJNA560767,2,
P07,lung adenocarcinoma CPTAC proteomics,proteomics,disease=lung adenocarcinoma; source=CPTAC; omics=proteomics,1b8e1eacb1ea3c0f,PDC000232,cptac,proteomics,CPTAC LSCC Discovery Study - Phosphoproteome,Lung Squamous Cell Carcinoma;Other phosphoproteome using TMT11 from Clinical Proteomic Tumor Analysis Consortium proteomics study,Homo sapiens,115,Lung Squamous Cell Carcinoma;Other,Bronchus and lung;Not Reported,https://pdc.cancer.gov/pdc/study/PDC000232,2,
T08,adipose insulin resistance transcriptome,transcriptomics,disease=insulin resistance; tissue=adipose; omics=transcriptomics,a318a2284dba252f,E-GEOD-26637,biostudies-arrayexpress,Transcriptomics,Adipose tissue transcriptome in insulin resistance,"5 arrays from obese insulin-resistant and lean insulin-sensitive females adipose tissue at fasting and after 3h hyperinsulinemia 5 arrays from obese insulin-resistant and lean insulin-sensitive females adipose tissue at fasting and after 3h hyperinsulinemia FIR x 5, FIS x 5, HIR x 5, HIS x 5 F=fasting, H=hyperinsulinemia, IR=Insulin-resistant, IS=Insulin-sensitive (FIR, FIS, HIR, HIS)",Homo sapiens,,,,https://www.omicsdi.org/dataset/biostudies-arrayexpress/E-GEOD-26637,2,
EPI02,ATAC-seq glioblastoma tumor,epigenomics,disease=glioblastoma; assay=ATAC-seq,8509ca1170522f66,PRJNA484396,project,Genomics,N6-methyladenine DNA Modification in Glioblastoma [ATAC-seq],N6-methyladenine DNA Modification in Glioblastoma [ATAC-seq],,,,,https://www.omicsdi.org/dataset/project/PRJNA484396,2,
P06,ovarian cancer proteogenomics CPTAC,proteomics,disease=ovarian cancer; source=CPTAC; omics=proteomics,9e064f44a7fd411a,PDC000696,cptac,proteomics,Yonsei Cancer Center - TNBC - Phosphoproteome,Breast Invasive Carcinoma;Not Reported phosphoproteome using TMT16 from International Cancer Proteogenome Consortium proteomics study,Homo sapiens,52,Breast Invasive Carcinoma;Not Reported,Breast;Not Reported,https://pdc.cancer.gov/pdc/study/PDC000696,1,missing disease
P04,liver cancer phosphoproteomics,proteomics,disease=liver cancer; omics=phosphoproteomics,3226b5ccc8803eec,PRJNA1178128,ena,transcriptomics,Induction of MASH in Three-Dimensional Bioprinted Human Liver Tissue,"Non-alcoholic steatohepatitis (NASH) represents a significant and growing public health concern worldwide, characterized by hepatic steatosis, inflammation, and varying degrees of fibrosis. In vitro models of NASH play a crucial role in elucidating the underlying mechanisms of disease pathogenesis, identifying potential therapeutic targets, and evaluating the efficacy of pharmacological interventions. Several preclinical models of MASH have been developed and are being used extensively to study these areas. While standard cell culture models allow for elucidation of certain molecular pathways involved in MASH pathogenesis, they lack three-dimensional architecture and cellular heterogeneity observed in native liver tissue, potentially limiting their physiological relevance and inability to fully capture the multifactorial nature of the disease Precision cut liver slices from MASH livers retain the complex multicellular architecture of the liver including hepatocyte arrangement, sinusoidal structure, and cellular interactions, but the metabolism deteriorates over a short period of time (usually reported as 2 days). Human liver organoids from iPSCs (induced pluripotent stem cells) retain the genetics of the patients but fail to fully differentiate into hepatocytes or have the liver architecture. Human liver spheroids incubated in a MASH cocktail develop several phenotypic characteristics of a MASH liver, but the small spheroid size precludes extensive histological comparisons to MASH livers. Microphysiological systems (MPS) or “liver on a chip” in which 3D cultures are perfused, maintain many of the physiological functions of the liver owing to precise control over microenvironmental parameters, including fluid flow, nutrient gradients, and mechanical cues. However, MPS are difficult to scale up and have not been developed to reproduce a MASH phenotype. In comparison, bioprinted liver tissues for MASH have many advantages. Organovo’s 3D bioprinted liver tissues are com",Homo sapiens,0,,,https://www.ebi.ac.uk/ena/browser/view/PRJNA1178128,1,"correct topic, wrong omics"
T04,multiple sclerosis blood transcriptome,transcriptomics,disease=multiple sclerosis; material=blood; omics=transcriptomics,25d18f76f1754574,GSE288904,geo,transcriptomics,Transcriptome Sequencing Data of Peripheral Blood Neutrophils in Multiple Sclerosis Patients and Healthy Volunteers,"Multiple sclerosis (MS) is a chronic, inflammatory, and demyelinating disease of the central nervous system. To explore the transcriptomic characteristics of peripheral blood neutrophils during the acute phase of MS, we conducted transcriptome sequencing analysis. Peripheral blood neutrophils were isolated from 8 MS patients in the acute phase and 29 age- and sex-matched healthy volunteers using density gradient centrifugation. RNA was extracted and sequenced on the Illumina platform to identify...",Homo sapiens,37,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288904,2,
M06,preterm birth cord blood metabolomics,metabolomics,disease=preterm birth; material=cord blood; omics=metabolomics,5e9414f5471e3d0f,S-EPMC6927294,biostudies-literature,Unknown,The Effect of Initial High vs. Low FiO<sub>2</sub> on Breathing Effort in Preterm Infants at Birth: A Randomized Controlled Trial.,,,,,,https://www.omicsdi.org/dataset/biostudies-literature/S-EPMC6927294,1,"correct topic, wrong omics"
S09,COVID lung single-cell immune atlas,single_cell,disease=COVID-19; tissue=lung; assay=single-cell,99d34ed840b6f20f,S-EPMC11645280,biostudies-literature,Unknown,Spatially resolved single-cell atlas unveils a distinct cellular signature of fatal lung COVID-19 in a Malawian population.,,,,,,https://www.omicsdi.org/dataset/biostudies-literature/S-EPMC11645280,2,
S02,melanoma T cell scRNA-seq,single_cell,disease=melanoma; cell=T cell; assay=scRNA-seq,88a0ec5766d837db,GSE226523,geo,single_cell,Gene expression profile at single cell level of OT-I CD8+ T cells from B16-OVA melanoma tumors,Tumor infiltrating T cells are a diverse and heterogeneous population. We used single cell RNA sequencing (scRNA-seq) to analyze gene expression changes in tumor-specific T cells that were sufficient for or lacked PSGL-1 (gene: Selplg).,Mus musculus,2,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226523,2,
P10,pancreatic cancer secretome proteomics,proteomics,disease=pancreatic cancer; assay=secretome; omics=proteomics,8f7806c4afa9eb3f,PDC000248,cptac,proteomics,KU PDAC Discovery Study - Global proteome,Pancreatic Ductal Adenocarcinoma proteome using TMT10 from International Cancer Proteogenome Consortium proteomics study,Homo sapiens,154,Pancreatic Ductal Adenocarcinoma,Pancreas,https://pdc.cancer.gov/pdc/study/PDC000248,1,missing assay
MO03,ovarian cancer spatial multi-omics,multi_omics,disease=ovarian cancer; assay=spatial multi-omics,e76576b8a0baf58a,PDC000649,cptac,proteomics,Academia Sinica Gastric Cancer - Phosphoproteome,Other;Stomach Adenocarcinoma phosphoproteome using TMT11 from International Cancer Proteogenome Consortium proteomics study,Homo sapiens,155,Other;Stomach Adenocarcinoma,Stomach,https://pdc.cancer.gov/pdc/study/PDC000649,0,not relevant
T12,tuberculosis macrophage RNA-seq,transcriptomics,disease=tuberculosis; cell=macrophage; assay=RNA-seq,9e01552cf028e3e0,GSE330455,geo,transcriptomics,Systems analysis reveals alternate metabolic states adopted by Mycobacterium tuberculosis across species,"Mycobacterium tuberculosis (Mtb) persists within macrophages, yet how different host species shape bacterial state remains poorly understood. Here, we directly compared the intracellular transcriptome of Mtb during infection of human and mouse macrophages, revealing distinct host-imposed microenvironments that drive the pathogen into separable metabolic states. Lipid metabolism and regulatory circuits were prominently remodeled, with mouse macrophages inducing iron- and oxidative-stress response...",Mycobacterium tuberculosis; Homo sapiens; Mus musculus,15,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE330455,1,missing cell
T11,autism brain cortex RNA-seq,transcriptomics,disease=autism; tissue=cortex; assay=RNA-seq,cfa7be5c59853a77,E-GEOD-76567,biostudies-arrayexpress,Transcriptomics,Transcriptomic Analysis of the Hippocampus from Six Inbred Strains of Mice Suggests Basis for Sex-Specific Susceptibility and Severity of Neurological Disorders,"Identifying sex differences in gene expression within the brain is critical for determining why multiple neurological and behavioural disorders differentially affect males and females. Several are more common or severe in males (e.g., autism and schizophrenia) or females (e.g., Alzheimerâs disease and depression). We analyzed transcriptomic data from the mouse hippocampus of six inbred strains (129S1/SvImJ, A/J, C57BL/6J, DBA/1J, DBA/2J and PWD/Ph), to provide a perspective on differences between male and female gene expression. Our data show that: 1) significant gene expression differences in males versus females varies substantially across the strains, 2) 12 genes exist that are differentially expressed across the inbred strains (termed core genes), and 3) there are >2,600 significantly differentially expressed genes (DEGs) among the strains (termed non-core genes). We found that DBA/2J uniquely has a substantial majority (89%) of DEGs that are more highly expressed in females than males; 129/SvImJ is the most strongly male-biased with a majority (69%) of DEGs that are more highly expressed in males. To gain insight into the sex-biased DEGs, we examined gene ontology, pathway and phenotype enrichment and found significant enrichment in phenotypes related to abnormal nervous system morphology and physiology, among others. In addition, several pathways are enriched significantly, including Alzheimerâs disease (AD), with 32 genes implicated in AD, 8 of which are male-biased. Three of the male-biased genes have been implicated in a neuroprotective role in AD. Our transcriptomic data provide new insight into understanding the possible genetic bases for sex-specific susceptibility and severity of brain disorders. Hippocampal mRNA from adult males and females of six inbred strains of mice were analyzed by RNA sequencing of 3 biological replicates using an Illumina HiSeq 2500",Mus musculus,,,,https://www.omicsdi.org/dataset/biostudies-arrayexpress/E-GEOD-76567,2,
S05,pancreatic islet single-cell diabetes,single_cell,disease=diabetes; tissue=islet; assay=single-cell,c903e9e218524293,GSE295353,geo,single_cell,Optimizing Single-Cell Long-Read Sequencing for Enhanced Isoform Detection in Pancreatic Islets [sc_islet],"The goal of this study was to optimize single-cell long-read RNA sequencing in pancreatic islets to enable accurate isoform-level gene expression analysis. We aimed to overcome key technical limitations—including insufficient read lengths, high error rates, and transcript abundance bias—that have hindered long-read sequencing in single cells. Specifically, we compared 5’ and 3’ library preparation strategies and evaluated transcript depletion methods to improve detection of low-abundance isoform...",Mus musculus,7,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE295353,1,missing disease
S03,kidney fibrosis single-nucleus RNA-seq,single_cell,disease=kidney fibrosis; tissue=kidney; assay=snRNA-seq,9cfeca33cf3abe8d,54004c5c-af08-4693-a606-73871b6ef989,cellxgene,single_cell,Cystic Fibrosis and healthy control biopsy,10X scRNA-seq data of bronchial biopsy samples from three Cystic Fibrosis patients and two previously published control groups from the CellxGene collection at the provided link.,Homo sapiens,0,,,https://cellxgene.cziscience.com/collections/54004c5c-af08-4693-a606-73871b6ef989,0,not relevant
EPI02,ATAC-seq glioblastoma tumor,epigenomics,disease=glioblastoma; assay=ATAC-seq,c1017b7d97d58076,GSE279538,geo,epigenomics,Hypoxic stress dysregulates functions of glioma-associated myeloid cells through epigenomic and transcriptional programs [ATAC-seq],"Hypoxia rapidly alters gene expression to allow cellular adaptation to challenging conditions and support tumour growth. Hypoxia also affects the chromatin structure by modifications of histones and DNA methylation. Glioblastoma (GBM) is an aggressive, deadly primary brain tumour for which there is no effective treatment. The tumour microenvironment of GBM is highly heterogeneous, with infiltration of glioma-associated microglia and macrophages (GAMs) and the presence of necrotic, hypoxic region...",Mus musculus,8,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE279538,2,
P03,diabetes islet proteomics,proteomics,disease=diabetes; tissue=islet; omics=proteomics,8e439608e807ae68,PXD063329,pride,Proteomics,Strategic Reduction of Hybrid Insulin Peptide Formation Significantly Delays Diabetes Onset in NOD Mice,"Hybrid insulin peptides (HIPs) form in pancreatic beta cells through the covalent cross-linking of proinsulin peptides with various beta cell peptides, creating unique amino acid sequences not encoded in the genome. HIPs have been confidently identified in both human and mouse islets by mass spectrometry and are targeted by autoreactive T cells in type 1 diabetes (T1D) patients and disease-triggering CD4 T cells in non-obese diabetic (NOD) mice. Previous work identified cathepsin D (CatD) as an enzyme involved in HIP formation through transpeptidation reactions targeting a conserved leucine residue (L26) in the C-peptide region of proinsulin. In this study, we generated NOD mice with a leucine-to-isoleucine substitution at this position in the insulin 2 gene (NOD INS2I/I) to prevent CatD-mediated HIP formation. Mass spectrometry analysis of islet peptidomes revealed that the L26I modification effectively blocked CatD-mediated cleavage at this site and significantly reduced the levels of disease-relevant HIPs, including HIP11 and 6.9HIP. These findings were validated through T cell assays showing reduced antigenicity of islets from modified mice when exposed to HIP-reactive T cell clones. The functional consequences of reduced HIP formation were demonstrated in a year-long monitoring study, where NOD INS2I/I mice exhibited significantly delayed disease onset compared to wild-type NOD mice, with 43% versus 10% remaining disease-free after one year. In vitro experiments with human C-peptide further confirmed that the L26I substitution prevents CatD-mediated HIP formation in human samples as well. Our results establish CatD as the primary enzymatic driver of disease-relevant HIP formation and demonstrate that preventing CatD-mediated processing of proinsulin 2 C-peptide in NOD mice significantly reduces HIP formation and delays autoimmune diabetes progression, identifying a potential therapeutic target for T1D prevention.",Mus musculus (Mouse); Homo sapiens (Human),,,,https://www.omicsdi.org/dataset/pride/PXD063329,2,
MO10,pancreatic cancer single-cell multi-omics,multi_omics,disease=pancreatic cancer; assay=single-cell multi-omics,75b827cead6c009d,PDC000248,cptac,proteomics,KU PDAC Discovery Study - Global proteome,Pancreatic Ductal Adenocarcinoma proteome using TMT10 from International Cancer Proteogenome Consortium proteomics study,Homo sapiens,154,Pancreatic Ductal Adenocarcinoma,Pancreas,https://pdc.cancer.gov/pdc/study/PDC000248,1,missing assay
T12,tuberculosis macrophage RNA-seq,transcriptomics,disease=tuberculosis; cell=macrophage; assay=RNA-seq,bc7c649d39da9166,S-EPMC4316787,biostudies-literature,Unknown,Analysis of the Bovine Monocyte-Derived Macrophage Response to Mycobacterium avium Subspecies Paratuberculosis Infection Using RNA-seq.,,,,,,https://www.omicsdi.org/dataset/biostudies-literature/S-EPMC4316787,1,missing disease
S08,brain organoid single-cell development,single_cell,context=development; tissue=brain organoid; assay=single-cell,ca1fb0c90e1adf8e,de379e5f-52d0-498c-9801-0f850823c847,cellxgene,single_cell,An integrated transcriptomic cell atlas of human neural organoids,"PLEASE NOTE: 1. The metadata field `cell_type` corresponds to a manual mapping of the original author annotations (metadata field `cell_type_original`) to the Cell Ontology. For the harmonised cell type, region, and neurotransmitter-transporter annotations, please refer to the metadata fields starting with `annot_` in the Author Categories.      2. For the HNOCA extended, you can find the harmonised cell type annotation covering all cells (including the extension datasets) in the `annot_level_2_extended` metadata field.      3. The metadata field `tissue` corresponds to the target tissue of the employed organoid differentiation protocol. For example, a cell originating from a sample generated using a cortical differentiation protocol will be annotated as `cerebral cortex`.     4. The data deposited here contains slightly fewer cells than in the data associated with the original publication. This is due to the removal of some cells with identical expression values as required by the CellxGene schema. You can find the full object at the Zenodo Data Source link to the right.          PUBLICATION ABSTRACT: Neural tissues generated from human pluripotent stem cells in vitro (known as neural organoids) are becoming useful tools to study human brain development, evolution and disease. The characterization of neural organoids using single-cell genomic methods has revealed a large diversity of neural cell types with molecular signatures similar to those observed in primary human brain tissue. However, it is unclear which domains of the human nervous system are covered by existing protocols. It is also difficult to quantitatively assess variation between protocols and the specific cell states in organoids as compared to primary counterparts. Single-cell transcriptome data from primary tissue and neural organoids derived with guided or un-guided approaches and under diverse conditions combined with large-scale integrative analyses make it now possible to address these challeng",Homo sapiens,0,,,https://cellxgene.cziscience.com/collections/de379e5f-52d0-498c-9801-0f850823c847,2,
G05,acute myeloid leukemia genomics TCGA,genomics,disease=AML; source=TCGA; omics=genomics,7fb770e1e7c52cb9,PRJNA1424932,project,Genomics,BCL6B suppresses acute myeloid leukemia progression by transcriptionally repressing GGT5 and modulating MAPK signaling,BCL6B suppresses acute myeloid leukemia progression by transcriptionally repressing GGT5 and modulating MAPK signaling,,,,,https://www.omicsdi.org/dataset/project/PRJNA1424932,2,
S08,brain organoid single-cell development,single_cell,context=development; tissue=brain organoid; assay=single-cell,0a68d8f5cba983bb,E-MTAB-15659,biostudies-arrayexpress,Transcriptomics,Posterior brain organoids multi-omics atlas,"Here, we generated multiome (coupled scRNA-seq and scATAC-seq) data over a time course of mid- and hindbrain organoid development to map cell composition and explore the regulatory mechanisms underlying cell type maturation. The dataset incorporates 5 time points from day 7 to day 120 from 3 human induced pluripotent stem cell (iPSC) lines using 2 previously established protocols. The protocols differentially generate ventral and dorsal cell types, and together cover regions such as floor-plate, dorsal and ventral midbrain, cerebellum, and additional parts of hindbrain. Comparing the data to a reference atlas of the developing human brain and to an integrated neural organoid cell atlas, we find that the gene regulatory architecture in organoid cells is predictive of primary counterparts and also that multiple regions are under-represented in existing organoid models.",Homo sapiens,,,,https://www.omicsdi.org/dataset/biostudies-arrayexpress/E-MTAB-15659,2,
EPI05,colon cancer chromatin accessibility,epigenomics,disease=colon cancer; assay=ATAC-seq,43bd6b8e7287dd09,E-GEOD-36580,biostudies-arrayexpress,Transcriptomics,AcceSssIble: an array-based assay for the study of chromatin accessibility and DNA methylation using the CpG methyltransferase SssI,"Analysis of nucleosome positioning and chromatin state by using CpG methyltransferase M.SssI to methylate nuclei. Unmethylated regions that gain methylation (low to high beta value) are known to be accessible and nucleosome depleted. Intact nuclei are harvested from cells and treated with M.SssI. DNA is then extracted, bisulfite converted and run on an Infinium methylation array, along with a no-enzyme control. Background subtracted beta values (listed below) are used to determine regions that have gained methylation on enzyme treatment compared to the control - and these are used to infer chromatin state",Homo sapiens,,,,https://www.omicsdi.org/dataset/biostudies-arrayexpress/E-GEOD-36580,1,missing disease
T12,tuberculosis macrophage RNA-seq,transcriptomics,disease=tuberculosis; cell=macrophage; assay=RNA-seq,c7eef36bdcefc24d,GSE107387,geo,transcriptomics,RNA-seq identifies a distinct response in macrophages stimulated with early secreted antigenic target 6-KDa from Mycobacterium tuberculosis,"Purpose: The goals of this study are to obtain the NGS-derived transcriptome profiling (RNA-seq) for THP-1 macrophages response to early secreted antigenic target 6-KDa (ESAT6) from Mycobacterium tuberculosis Methods: mRNA profiles of THP-1 macrophages treated with ESAT6 were generated by deep sequencing, using Illumina Hiseq3000. The sequence reads that passed quality filters were first mapped to the latest UCSC transcript set using Bowtie2 (version 2.1.0). Then the gene expression level was es...",Homo sapiens,3,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE107387,2,
G10,congenital heart disease exome sequencing,genomics,disease=congenital heart disease; assay=WES,0b53a91d1630de4e,PRJNA718840,ena,transcriptomics,A multi-omics approach using a mouse model of cardiac malformations for prioritization of human congenital heart disease contributing genes [scRNA-seq],"Congenital heart disease (CHD) is the most common type of birth defect, affecting ~1% of all live births. Malformations of the cardiac outflow tract (OFT) account for ~30% of all CHD and include a range of CHDs from bicuspid aortic valve (BAV) to tetralogy of Fallot (TOF). We hypothesized that transcriptomic profiling of a mouse model of CHD would highlight disease-contributing genes implicated in congenital cardiac malformations in humans. To test this hypothesis, we utilized global transcriptional profiling differences from a mouse model of OFT malformations to prioritize damaging, de novo variants identified from exome sequencing datasets from published cohorts of CHD patients. Notch1+/- Nos3-/- mice display a spectrum of cardiac OFT malformations ranging from BAV, semilunar valve (SLV) stenosis to TOF. Global transcriptional profiling of the E13.5 Notch1+/- Nos3-/- mutant mouse OFTs and wildtype controls was performed by RNA sequencing (RNA-Seq). Analysis of the RNA-Seq dataset demonstrated genes belonging to the Hif1α, Tgf-β, Hippo, and Wnt signaling pathways were differentially expressed in the mutant OFT. Mouse to human comparative analysis was then performed to determine if patients with TOF and SLV stenosis display an increased burden of damaging, genetic variants in gene homologs that were dysregulated in Notch1+/- Nos3-/- OFT. We found an enrichment of de novo variants in the TOF population among the 1,352 significantly differentially expressed genes in Notch1+/- Nos3-/- mouse OFT but not the SLV population. This association was not significant when compared to only highly expressed genes in the murine OFT and of de novo variants in the TOF population. These results suggest that transcriptomic datasets generated from the appropriate temporal, anatomic and cellular tissues from murine models of CHD may provide a novel approach for the prioritization of disease-contributing genes in patients with CHD. Overall design: E12.5 cardiac OFTs (both Notch1+/- and w",Mus musculus,0,,,https://www.ebi.ac.uk/ena/browser/view/PRJNA718840,2,
MG03,coral reef bleaching metagenomics,metagenomics,condition=coral bleaching; biome=reef; omics=metagenomics,aa9d246cc6d01339,PRJNA413258,ena,transcriptomics,Heritable variation in bleaching responses and its functional genomic basis in reef-building corals (Orbicella faveolata),"Reef-building corals are highly sensitive to rising ocean temperatures, and substantial adaptation will be required to persist in changing ocean conditions. In this study, we focused on the potential for adaptation in Orbicella faveolata, a dominant reef-builder in the Caribbean. We conducted thermal stress experiments using corals collected from natural populations in Bocal del Toro, Panama. We estimated the heritability of variation in bleaching responses, conducted a genome-wide association study to examine the functional basis of the variation, and profiled gene expression in contrasting phenotypes.",Orbicella faveolata,0,,,https://www.ebi.ac.uk/ena/browser/view/PRJNA413258,1,"correct topic, wrong omics"
G04,breast cancer whole genome sequencing,genomics,disease=breast cancer; assay=WGS,d3bde79b7f231520,PRJEB79498,ena,genomics,"This study analyzed whole exome sequencing data from 15 Indian triple-negative breast cancer (TNBC) patients. On average, 106 mutations per sample were identified. The most significant recurrent mutations were found in genes including CTNNB1, TP53, and SLC7A8. Other cancer-associated genes also showed mutations. The TNBC genomes exhibited predominant mutational signatures related to spontaneous deamination, DNA repair failure, and transcriptional strand bias. These mutations were involved in several major signaling pathways. The findings highlight key exonic mutations in Indian TNBC patients that could be used for screening, risk prediction, and developing targeted therapeutics. Further studies on genetic variability among TNBC patients are suggested for improved treatment strategies.","Background: Triple-negative breast cancers (TNBCs) are pathologically the most aggressive and heterogenous subtype of carcinoma breast displaying increased chemo-resistance and a high rate of relapse. A compelling need exists to discover specific gene mutation(s) and exomic mutational landscape associated with Indian TNBC patients in identifying potential therapeutic target(s) for effective treatment. Methods: The status of the hormone receptors and human epidermal growth factor receptor 2 was confirmed. Genomic DNA was extracted from TNBC tissues and adjacent non-cancerous breast tissues. Quantification and quality of gDNA samples were checked. Whole exome sequencing (WES) was performed on 15 TNBC patients along with 5 random adjacent non-cancerous tissue specimens. WES data alignment and mapping to reference human genome hg19 was done using BWA, SAMtools, and Picard tools. The data analysis and mutation calling were performed using the Genome Analysis Toolkit (GATK). The signal and PANTHER pathways tools were used for mutational significance and pathway analysis, respectively. Findings: Our data reveals that the TNBC genomes carried an average of ~106 mutations per sample. MutSig2CV analysis showed the most significant recurrent mutations in CTNNB1 (47% 7/15), TP53 (33% 5/15), SLC7A8 (27% 4/15), AMOT (20% 3/15), CLEC11A (20% 3/15), and ECHDC1 (13% 2/15) with a q value of ≤ 0.1. We also observed recurrent mutations in other important cancer-associated genes such as ABCC3, BRCA1, BRCA2, BIRC6, CDH7, CSMD3, MUC12, MUC16, NT5C1B,PIK3CA, POLE, STK31, TTN, and ZFHX4. Interestingly, the TNBC genomes exhibited a predominance of signature 1 associated with spontaneous deamination of 5-methylcytosine, signature 3 represented the failure of DNA double-strand break repair by homologous recombination, while signature 5 correlated with transcriptional strand bias. Furthermore, these mutations were involved in several major signaling pathways such as the Wnt, p53, PDGF, cadherin",,0,,,https://www.ebi.ac.uk/ena/browser/view/PRJEB79498,1,missing assay
G10,congenital heart disease exome sequencing,genomics,disease=congenital heart disease; assay=WES,3641f1b126e53fce,PRJNA625349,ena,genomics,The Research Institute at Nationwide Children's Hospital Genetics of Congenital Heart Disease (CHD),"Congenital heart disease (CHD) is the most common type of birth defect, but the cause for the majority of cardiac birth defects remains unknown. Numerous epidemiologic studies have demonstrated evidence that genetic factors likely play a contributory, if not causative, role in CHD. A few genes have been identified by us and other investigators using traditional genetic approaches, but these genes only account for a small portion of the non-syndromic CHDs. Therefore, we are now utilizing whole exome sequencing (WES) and whole genome sequencing (WGS), with the addition of more traditional genetic techniques such as chromosomal microarray or traditional linkage analysis, to identify genetic causes of familial and isolated CHD. With WES/WGS, we are able to sequence all of the genes of an... (for more see dbGaP study page.)",Homo sapiens,0,,,https://www.ebi.ac.uk/ena/browser/view/PRJNA625349,2,
